,物业类型,参考价格,项目特色,区域位置,楼盘地址,售楼处地址,开发商,建筑类型,绿化率,占地面积,容积率,建筑面积,规划户数,产权年限,楼盘户型,最近交房,物业公司,车位配比,物业费,供暖方式,供水方式,供电方式,车位,周边规划
19,商业类,,,武汉- 江岸,江岸区黄孝河路华中国际广场二期营销中心,江岸区发展大道与武汉大道交汇处（竹叶山转盘麦当劳旁）（接待时间 09:00 - 18:00）,武汉竹叶山集团股份有限公司,塔楼,20%,"7,653㎡",4.00,"34,479㎡",369,40年,全部(9) 一居室(2) 二居室(2) 三居室(2) 四居室(3),2024-08-31,戴德梁行顾问,1:2.8,3.8元/m²/月,无供暖,民水,民电,地下车位数1044,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
,物业类型,参考价格,项目特色,区域位置,楼盘地址,售楼处地址,开发商,建筑类型,绿化率,占地面积,容积率,建筑面积,规划户数,产权年限,楼盘户型,最近交房,物业公司,车位配比,物业费,供暖方式,供水方式,供电方式,车位,周边规划
0,住宅,,,武汉- 青山,青山区北抵和平大道，南至建港南路，东至建设二路，西至建设一路,暂无信息,中能建城市投资发展有限公司,板楼,30%,"56,928㎡",3.25,"185,200㎡",1749,70年,全部(2) 三居室(2),2025-12-31,暂无信息,1:1.05,暂无信息,暂无信息,暂无信息,暂无信息,地下车位数1841,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
1,住宅,,,武汉- 硚口,解放大道汉西一路交汇处,解放大道与汉西一路交汇处（接待时间 09:00 - 18:00）,武汉招瑞置业有限公司,板楼,28%,"102,117㎡",3.69,"525,979㎡",2847,70年,全部(11) 三居室(9) 四居室(2),2024-12-31,武汉招瑞物业有限公司,1:1.2,3.8元/m²/月,自采暖,民水,民电,"地上车位数8
                                        ；                                            地下车位数2460","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
2,住宅,,,武汉- 沌口开发区,体育路招商·武汉城建未来中心,湖北省武汉市蔡甸区神龙大道协和医院西院西南侧约210米（接待时间 08:00 - 21:00）,武汉招城置业有限公司,高层、小高层,30%,"320,000㎡",2.30,"750,000㎡",988,70年,全部(12) 三居室(7) 四居室(5),2024-12-31,招商物业,1:1.4,3.1元/m²/月,自采暖,民水,民电,地下车位数1420,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
3,住宅,,,武汉- 蔡甸,莲花湖大道与西环路交汇处,蔡甸区莲花湖大道（汉阳一中对面）（接待时间 09:00 - 18:00）,武汉中建三局文城房地产开发有限公司,板楼,30%,"137,479㎡",2.80,"578,912㎡",3025,70年,全部(11) 三居室(8) 四居室(3),2024-06-30,中海物业,1:1.5,2.98~3.8元/m²/月,自采暖,民水,民电,地下车位数2002,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
4,住宅,,,武汉- 黄陂,航城东路与兴龙路交汇处,航城东路与兴龙路交汇处（接待时间 9:00 - 18:00）,武汉临空香廷置业有限公司,板楼,36%,"108,292㎡",1.60,"240,764㎡",1285,70年,全部(8) 三居室(5) 四居室(1) 五居室(2),2020-11-30,一辰物业有限公司,1:1.43,2.6~2.8元/m²/月,自采暖,民水,民电,"地上车位数17
                                        ；                                            地下车位数1817","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
5,住宅,,,武汉- 汉阳,晴川大道越秀汉阳星汇云锦,晴川大道与洲头五路交汇处（接待时间 09:00 - 18:00）,武汉安和盛泰房地产开发有限公司,板楼,30%,"57,282㎡",3.80,"308,029㎡",1262,70年,全部(7) 三居室(4) 四居室(3),2023-06-30,越秀（武汉）物业服务有限公司,1:1.72,4元/m²/月,自采暖,民水,民电,地下车位数2177,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
6,住宅,,,武汉- 硚口,古田三路与解放大道交汇处,硚口区古新路15号（接待时间 09:00 - 18:00）,武汉金林房地产开发有限公司,板楼,32%,"189,387㎡",4.50,"940,000㎡",6800,70年,全部(3) 三居室(3),2022-12-31,武汉市万科物业有限公司,1:1.29,3.18元/m²/月,自采暖,民水,民电,地下车位数6700,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
7,住宅,,,武汉- 黄陂,汉口北大道东端南侧（汉口北大道胜海站）,汉口北大道东端南侧（接待时间 9:00 - 18:00）,武汉盘龙城置业有限公司,板楼,35%,"130,000㎡",3.00,"470,000㎡",3715,70年,全部(6) 二居室(2) 三居室(4),2022-12-31,武汉合利物业管理有限公司,1:0.8,2元/m²/月,自采暖,民水,民电,地下车位数3000,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
8,住宅,,,武汉- 新洲,平江大道以西（口岸联检大楼旁）,平江大道以西（口岸联检大楼旁）（接待时间 09:00 - 18:00）,武汉市佳阳商贸发展有限公司,塔楼,35%,"66,331㎡",3.80,"192,079㎡",1986,70年,全部(7) 一居室(4) 二居室(1) 三居室(2),2020-06-30,佳阳物业,1:0.4,1.8元/m²/月,自采暖,民水,民电,地下车位数785,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
9,住宅,,,武汉- 蔡甸,汉阳大道中核世纪广场对面,汉阳大道中核世纪广场对面（接待时间 09:00 - 18:00）,武汉核建房地产开发有限公司,板楼,30%,"159,965㎡",2.49,"500,000㎡",3127,70年,全部(8) 三居室(3) 四居室(5),2022-12-08,长城物业管理公司,1:1.15,1.98元/m²/月,自采暖,民水,民电,"地上车位数299
                                        ；                                            地下车位数3280","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
10,住宅,,,武汉- 黄陂,甲宝山路万博玖珑湾,盘龙大道甲宝山路（汤仁海湖东侧）（接待时间 9:00 - 18:00）,武汉万博房地产开发有限公司,板楼,30%,"80,011㎡",1.80,"158,953㎡",1206,70年,全部(2) 三居室(2),2019-05,武汉万锦物业管理有限公司,1:0.9,1.7元/m²/月,自采暖,民水,民电,地下车位数960,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
11,别墅,,,武汉- 黄陂,巨龙大道196号,武汉盘龙城经济开发区 巨龙大道196号（接待时间 9:00 - 18:00）,纵横（武汉）盘龙城置业有限公司,独栋别墅,70%,"1,333,330㎡",0.33,"700,000㎡",1377,70年,全部(5) 四居室(2) 五居室(3),2016-08-21,榕筑（武汉）物业发展有限公司,1:1.5,3.5~6元/m²/月,自采暖,民水,民电,地下车位数1800,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
12,住宅,,,武汉- 江汉,汉西北路36号,武汉市硚口区汉西北路36号（接待时间 18:00 - 8:30）,武汉市兴华房地产开发有限公司,板楼,30%,"76,000㎡",3.86,"376,000㎡",2114,70年,全部(19) 三居室(10) 四居室(9),2023-12-31,湖北水蓝郡物业管理有限公司,1:1,3.6元/m²/月,自采暖,民水,民电,地下车位数2110,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
13,住宅,,,武汉- 蔡甸,汤家台特1号,王家湾西`琴台大道延长线（中法友谊大桥旁）（接待时间 09:00 - 18:00）,武汉新意房地产开发有限公司,板楼,35%,"177,198㎡",2.80,"136,136㎡",990,70年,全部(3) 二居室(1) 三居室(2),2024-05-01,武汉市美嘉园物业管理有限公司,1:0.91,2.3元/m²/月,自采暖,民水,民电,"地上车位数174
                                        ；                                            地下车位数733","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
14,住宅,,,武汉- 黄陂,汤云海路特1号（规划7号线汤云海站 200 米）,盘龙经济开发区汤云海路特1号（规划7号线汤云海站 200 米）（接待时间 9:00 - 18:00）,武汉四海投资顾问有限公司,板楼,35%,"68,000㎡",3.00,"180,000㎡",1426,70年,全部(8) 二居室(2) 三居室(6),2022-10-31,深圳罗伯特物业顾问管理公司,1:0.75,2元/m²/月,自采暖,民水,民电,"地上车位数192
                                        ；                                            地下车位数719","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
15,住宅,,,武汉- 汉阳,麒麟路与百灵路交汇处,汉阳区墨水湖北路与汉桥路的交汇处约800米（接待时间 9:00 - 18:00）,武汉惠誉华天置业有限公司,板楼,30%,"23,003㎡",5.25,"117,524㎡",470,70年,全部(6) 三居室(5) 四居室(1),2026-04-30,上海永升物业管理有限公司武汉分公司,1:1.2,3.15元/m²/月,自采暖,民水,民电,地下车位数2700,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
16,住宅,,,武汉- 东湖高新,关山大道与南湖大道交汇处,武汉市东湖高新区关山大道与南湖大道交汇处北行140米（原五菱汽车店）（接待时间 8:30 - 18:00）,武汉菩提城置业有限公司,板楼,24%,"224,135㎡",4.05,"1,373,300㎡",6179,70年,全部(6) 三居室(5) 四居室(1),2024-06-15,中建壹品物业有限公司,1:1.2,3.8元/m²/月,自采暖,民水,民电,地下车位数10500,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
17,别墅,,,武汉- 黄陂,木兰湖风景区牌楼街与演武街交汇处西200米（木兰湖码头左侧）,木兰湖风景区牌楼街与演武街交汇处西200米（木兰湖码头左侧）（接待时间 9:00 - 18:00）,武汉翠影水居置业有限公司,板楼,80%,"20,000㎡",0.26,"5,000㎡",50,70年,全部(1) 八居室(1),2012-01-01,泰合物业管理（武汉）有限公司,1:3,2元/m²/月,自采暖,民水,民电,地上车位数12,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
18,别墅,,,武汉- 蔡甸,天鹅湖大道与温莎半岛路交汇,经济开发区知音湖畔（天鹅湖大道与温莎半岛路交汇）（接待时间 9:00 - 18:00）,武汉鑫聚置业有限公司,独栋别墅,43%,"80,000㎡",0.70,"49,000㎡",124,70年,全部(6) 四居室(3) 五居室(1) 七居室(1) 十居室(1),2018-05-31,武汉新聚居物业管理有限公司,1:2.6,4.6元/m²/月,自采暖,民水,民电,地上车位数248,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
19,商业类,,,武汉- 江岸,江岸区黄孝河路华中国际广场二期营销中心,江岸区发展大道与武汉大道交汇处（竹叶山转盘麦当劳旁）（接待时间 09:00 - 18:00）,武汉竹叶山集团股份有限公司,塔楼,20%,"7,653㎡",4.00,"34,479㎡",369,40年,全部(9) 一居室(2) 二居室(2) 三居室(2) 四居室(3),2024-08-31,戴德梁行顾问,1:2.8,3.8元/m²/月,无供暖,民水,民电,地下车位数1044,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
20,住宅,,,武汉- 东西湖,常青花园中路573号,常青花园中路573号（接待时间 09:00 - 18:00）,湖北新域置业有限责任公司,板楼,30%,"60,675㎡",3.90,"322,097㎡",1846,70年,全部(8) 二居室(1) 三居室(5) 四居室(2),2021-03-28,武汉百步亭物业管理有限公司,1:1.4,2.6元/m²/月,自采暖,民水,民电,"地上车位数20
                                        ；                                            地下车位数1826","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
21,别墅,,,武汉- 黄陂,武湖五七路北（农耕年华隔壁）,武汉市黄陂区武湖五七路北（农耕年华隔壁）（接待时间 9:00 - 18:00）,武汉新纪元地产集团有限公司,联排别墅,35%,"66,218㎡",0.69,"64,697㎡",260,70年,暂无信息,2016-03,武汉新纪元地产集团有限公司,1:1,3.5元/m²/月,自采暖,民水,民电,地上车位数273,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
22,住宅,,,武汉- 蔡甸,汉阳大道与汉江路交汇处,汉阳大道与汉江路交汇处（泰佛工业园对面）（接待时间 9:00 - 18:00）,武汉安联房地产开发有限公司,塔板结合,30%,"35,778㎡",4.24,"151,620㎡",2180,70年,全部(2) 二居室(1) 三居室(1),2019-06-28,武汉世纪中邦物业管理有限公司,1:0.7,2.5元/m²/月,自采暖,民水,民电,地下车位数940,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
23,住宅,,,武汉- 江夏,江夏大道特77号,江夏大道77号（武汉外校美加分校旁）（接待时间 9:00 - 18.00）,美加置业（武汉）有限公司,板楼、高层、花园洋房,35%,"76,434㎡",1.20,"196,087㎡",811,70年,全部(4) 三居室(2) 四居室(1) 五居室(1),2022-12-31,六星级铂晶管家中心,1:1.5,3.1元/m²/月,自采暖,民水,民电,地下车位数1170,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
24,别墅,,,武汉- 江夏,江夏大道特77号,江夏大道77号（接待时间 9:00 - 18:00）,美加置业（武汉）有限公司,板楼,35%,"76,434㎡",2.56,"196,087㎡",18,70年,全部(1) 五居室(1),2019-09-30,六星级铂晶管家中心,1:1.5,3.8元/m²/月,自采暖,民水,民电,地上车位数1574,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
25,别墅,,,武汉- 江夏,文化大道汤逊湖红旗岛中建汤逊湖壹号,武汉市江夏区汤逊湖红旗岛（文化大道与金樱街交汇处向东1000米）（接待时间 09:00 - 18:00）,中建地产(武汉)有限公司,板楼、塔板结合,53%,"600,000㎡",1.00,"770,000㎡",413,70年,全部(11) 三居室(1) 四居室(9) 五居室(1),2021-09-30,中建地产(武汉)有限公司,1:3,4.5元/m²/月,自采暖,民水,民电,"地上车位数1478
                                        ；                                            地下车位数2522","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
26,住宅,,,武汉- 黄陂,盘龙大道与汤仁海路交汇处,盘龙大道叶店公交站旁（接待时间 09:00 - 18:00）,武汉市瑛华房地产有限公司,板楼、花园洋房,35%,"47,000㎡",1.00,"45,600㎡",498,70年,全部(1) 三居室(1),2022-09-30,武汉雅吉物业管理有限公司,1:1.1,2.9元/m²/月,自采暖,民水,民电,地下车位数340,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
27,住宅,,,武汉- 新洲,阳逻风情大道1号,阳逻风情大道1号（柴泊湖旁）（接待时间 09:00 - 18:00）,武汉新七德雅实业发展有限公司,板楼,35%,"38,000㎡",2.77,"100,000㎡",824,70年,全部(6) 三居室(2) 四居室(2) 五居室(2),2025-03-31,德雅国际城港龙湾物业公司,1:1.2,2.68元/m²/月,自采暖,民水,民电,"地上车位数153
                                        ；                                            地下车位数857","['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
28,商业类,,,武汉- 青山,临江大道与建设四路交汇处,青山区临江大道与建设四路交汇处（接待时间 9:00 - 18:00）,武汉市联泰房地产开发有限公司,塔板结合,40%,"59,273㎡",4.54,"374,922㎡",526,40年,全部(3) 一居室(2) 二居室(1),2024-10-31,广东联泰集团物业管理有限公司,1:1.37,3元/m²/月,自采暖,商水,商电,地下车位数2218,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
29,住宅,,,武汉- 黄陂,汉口北大道新十公路特1号,黄陂区汉口北大道新十公路特1号（接待时间 9:00 - 18:00）,武汉市永旺大地置业有限公司,板楼,35%,"100,000㎡",2.00,"200,000㎡",1500,70年,全部(3) 三居室(2) 四居室(1),2022-03-30,永升物业,1:1.2,1.9元/m²/月,自采暖,民水,民电,地下车位数1500,"['地铁：', '教育设施：', '医院：', '购物：', '公园：', '其他：']"
